URI Scheme,Template,Description,Reference
aaa,,Diameter Protocol,[RFC6733]
aaas,,Diameter Protocol with Secure Transport,[RFC6733]
about,,about,[RFC6694]
acap,,application configuration access protocol,[RFC2244]
acct,,acct,[RFC-ietf-appsawg-acct-uri-06]
cap,,Calendar Access Protocol,[RFC4324]
cid,,content identifier,[RFC2392]
coap,,coap,[RFC7252]
coaps,,coaps,[RFC7252]
crid,,TV-Anytime Content Reference Identifier,[RFC4078]
data,,data,[RFC2397]
dav,,dav,[RFC4918]
dict,,dictionary service protocol,[RFC2229]
dns,,Domain Name System,[RFC4501]
file,,Host-specific file names,[RFC1738]
ftp,,File Transfer Protocol,[RFC1738]
geo,,Geographic Locations,[RFC5870]
go,,go,[RFC3368]
gopher,,The Gopher Protocol,[RFC4266]
h323,,H.323,[RFC3508]
http,,Hypertext Transfer Protocol,"[RFC7230, Section 2.7.1]"
https,,Hypertext Transfer Protocol Secure,"[RFC7230, Section 2.7.2]"
iax,,Inter-Asterisk eXchange Version 2,[RFC5456]
icap,,Internet Content Adaptation Protocol,[RFC3507]
im,,Instant Messaging,[RFC3860]
imap,,internet message access protocol,[RFC5092]
info,,Information Assets with Identifiers in Public Namespaces,[RFC4452]
ipp,,Internet Printing Protocol,[RFC3510]
ipps,,Internet Printing Protocol over HTTPS,[RFC7472]
iris,,Internet Registry Information Service,[RFC3981]
iris.beep,,iris.beep,[RFC3983]
iris.xpc,,iris.xpc,[RFC4992]
iris.xpcs,,iris.xpcs,[RFC4992]
iris.lwz,,iris.lwz,[RFC4993]
jabber,perm/jabber,jabber,[Peter_Saint-Andre]
ldap,,Lightweight Directory Access Protocol,[RFC4516]
mailto,,Electronic mail address,[RFC6068]
mid,,message identifier,[RFC2392]
msrp,,Message Session Relay Protocol,[RFC4975]
msrps,,Message Session Relay Protocol Secure,[RFC4975]
mtqp,,Message Tracking Query Protocol,[RFC3887]
mupdate,,Mailbox Update (MUPDATE) Protocol,[RFC3656]
news,,USENET news,[RFC5538]
nfs,,network file system protocol,[RFC2224]
ni,,ni,[RFC6920]
nih,,nih,[RFC6920]
nntp,,USENET news using NNTP access,[RFC5538]
opaquelocktoken,,opaquelocktokent,[RFC4918]
pkcs11,,PKCS#11,[RFC-pechanec-pkcs11uri-21]
pop,,Post Office Protocol v3,[RFC2384]
pres,,Presence,[RFC3859]
reload,,reload,[RFC6940]
rtsp,,Real-time Streaming Protocol (RTSP),[RFC2326][RFC-ietf-mmusic-rfc2326bis-40]
rtsps,,Real-time Streaming Protocol (RTSP) over TLS,[RFC2326][RFC-ietf-mmusic-rfc2326bis-40]
rtspu,,Real-time Streaming Protocol (RTSP) over unreliable datagram transport,[RFC2326]
service,,service location,[RFC2609]
session,,session,[RFC6787]
shttp,,Secure Hypertext Transfer Protocol,[RFC2660]
sieve,,ManageSieve Protocol,[RFC5804]
sip,,session initiation protocol,[RFC3261]
sips,,secure session initiation protocol,[RFC3261]
sms,,Short Message Service,[RFC5724]
snmp,,Simple Network Management Protocol,[RFC4088]
soap.beep,,soap.beep,[RFC4227]
soap.beeps,,soap.beeps,[RFC4227]
stun,,stun,[RFC7064]
stuns,,stuns,[RFC7064]
tag,,tag,[RFC4151]
tel,,telephone,[RFC3966]
telnet,,Reference to interactive sessions,[RFC4248]
tftp,,Trivial File Transfer Protocol,[RFC3617]
thismessage,perm/thismessage,multipart/related relative reference resolution,[RFC2557]
tn3270,,Interactive 3270 emulation sessions,[RFC6270]
tip,,Transaction Internet Protocol,[RFC2371]
turn,,turn,[RFC7065]
turns,,turns,[RFC7065]
tv,,TV Broadcasts,[RFC2838]
urn,,Uniform Resource Names,[RFC2141][IANA registry urn-namespaces]
vemmi,,versatile multimedia interface,[RFC2122]
ws,,WebSocket connections,[RFC6455]
wss,,Encrypted WebSocket connections,[RFC6455]
xcon,,xcon,[RFC6501]
xcon-userid,,xcon-userid,[RFC6501]
xmlrpc.beep,,xmlrpc.beep,[RFC3529]
xmlrpc.beeps,,xmlrpc.beeps,[RFC3529]
xmpp,,Extensible Messaging and Presence Protocol,[RFC5122]
z39.50r,,Z39.50 Retrieval,[RFC2056]
z39.50s,,Z39.50 Session,[RFC2056]
